Time;Value(generator);Value(filterd)
0,008880;-32767;-32767
0,008890;-32767;-32767
0,008900;-32767;-32767
0,008910;-32767;-32767
0,008920;-32767;-32767
0,008930;-32767;-32767
0,008940;-32767;-32767
0,008950;-32767;-32767
0,008960;-32767;-32767
0,008970;-32767;-32767
0,008980;-32767;-32767
0,008990;-32767;-32767
0,009000;-32767;-32767
0,009010;32767;-32435
0,009020;32767;-30511
0,009030;32767;-23253
0,009040;32767;-8879
0,009050;32767;8879
0,009060;32767;23253
0,009070;32767;30511
0,009080;32767;32435
0,009090;32767;32767
0,009100;32767;32767
0,009110;32767;32767
0,009120;32767;32767
0,009130;32767;32767
0,009140;32767;32767
0,009150;32767;32767
0,009160;32767;32767
0,009170;32767;32767
0,009180;32767;32767
0,009190;32767;32767
0,009200;32767;32767
0,009210;32767;32767
0,009220;32767;32767
0,009230;32767;32767
0,009240;32767;32767
0,009250;32767;32767
0,009260;32767;32767
0,009270;32767;32767
0,009280;32767;32767
0,009290;32767;32767
0,009300;32767;32767
0,009310;32767;32767
0,009320;32767;32767
0,009330;32767;32767
0,009340;32767;32767
0,009350;32767;32767
0,009360;32767;32767
0,009370;32767;32767
0,009380;32767;32767
0,009390;32767;32767
0,009400;32767;32767
0,009410;32767;32767
0,009420;32767;32767
0,009430;32767;32767
0,009440;32767;32767
0,009450;32767;32767
0,009460;32767;32767
0,009470;32767;32767
0,009480;32767;32767
0,009490;32767;32767
0,009500;32767;32767
0,009510;-32767;32435
0,009520;-32767;30511
0,009530;-32767;23253
0,009540;-32767;8879
0,009550;-32767;-8879
0,009560;-32767;-23253
0,009570;-32767;-30511
0,009580;-32767;-32435
0,009590;-32767;-32767
0,009600;-32767;-32767
0,009610;-32767;-32767
0,009620;-32767;-32767
0,009630;-32767;-32767
0,009640;-32767;-32767
0,009650;-32767;-32767
0,009660;-32767;-32767
0,009670;-32767;-32767
0,009680;-32767;-32767
0,009690;-32767;-32767
0,009700;-32767;-32767
0,009710;-32767;-32767
0,009720;-32767;-32767
0,009730;-32767;-32767
0,009740;-32767;-32767
0,009750;-32767;-32767
0,009760;-32767;-32767
0,009770;-32767;-32767
0,009780;-32767;-32767
0,009790;-32767;-32767
0,009800;-32767;-32767
0,009810;-32767;-32767
0,009820;-32767;-32767
0,009830;-32767;-32767
0,009840;-32767;-32767
0,009850;-32767;-32767
0,009860;-32767;-32767
0,009870;-32767;-32767
0,009880;-32767;-32767
0,009890;-32767;-32767
0,009900;-32767;-32767
0,009910;-32767;-32767
0,009920;-32767;-32767
0,009930;-32767;-32767
0,009940;-32767;-32767
0,009950;-32767;-32767
0,009960;-32767;-32767
0,009970;-32767;-32767
0,009980;-32767;-32767
0,009990;-32767;-32767
